Sample.ID	accession_number	sampling_date	Year	Month	Day	experimental_purpose	latitude_north	longitude_east	site	origin	soil_groups	land_use	soil_texture	pH_dry_soil	EC_electric_conductivity	Total_C	Total_N	soil_biomass	available_P	nitrogen_mineralization_rates	soil_respiration_activity	soil_moisture_content	cation_exchange_capacity_CEC	crop	planting_density	rate_of_organic_fertilizer_application	rate_of_chemical_fertilizer_applicationN	rate_of_chemical_fertilizer_applicationP	rate_of_chemical_fertilizer_applicationK	former_crop	seeding_or_transplanting	seeding_or_transplanting_date	DSI	DiseasePlant	nematodae	yield	PlantWeight	leafWeight	seedWeight
S_2053	3028-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.13.38	134.43.22	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	6.69	0.42	NA	NA	NA	185.3	NA	NA	18.7	NA	Lettuce	NA	0.1	29	14.3	16.9	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2052	3029-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.16.21	134.46.10	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	7.07	0.25	NA	NA	NA	185.3	NA	NA	14.8	NA	Lettuce	NA	0.1	39.2	18.6	20.8	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2051	3030-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.14.31	134.43.50	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	6.78	0.33	NA	NA	NA	161.4	NA	NA	17.7	NA	Lettuce	NA	0.2	42	22	24	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2050	3031-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.19.37	134.45.50	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	6.75	0.48	NA	NA	NA	63	NA	NA	17	NA	Lettuce	NA	0.1	40	12	12	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2049	3032-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.18.19	134.45.10	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	6.34	0.45	NA	NA	NA	265.8	NA	NA	20.6	NA	Lettuce	NA	0.2	30	16	18	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2064	3033-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.18.17	134.46.24	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	7.31	0.23	NA	NA	NA	190	NA	NA	24.6	NA	Lettuce	NA	20	30	16	18	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2063	3034-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.16.36	134.47.22	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	6.77	0.18	NA	NA	NA	213.9	NA	NA	28	NA	Lettuce	NA	0.2	30	16	18	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2062	3035-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.16.41	134.46.23	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	4.87	0.17	NA	NA	NA	66.8	NA	NA	11.3	NA	Lettuce	NA	0.2	40	12	12	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2061	3036-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.17.14	134.44.58	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	4.71	0.4	NA	NA	NA	119	NA	NA	19	NA	Lettuce	NA	NA	42.4	19.2	5.6	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
S_2060	3037-0*	2011/6/15	2011	Jun	11	"Relationship_beteen_the_soil_microorganisms_(microbial_diversity,_pathogen)_characteristics_in_the_field_where_Mirafiopri_lettuce_big-vein_virus_occurred_"	34.17.14	134.44.58	NA	non-rhizosphere	Grey_Lowland_soils	upland	SL	7.35	0.29	NA	NA	NA	NA	NA	NA	20.8	NA	Lettuce	NA	NA	NA	NA	NA	Lettuce	transplanting	NA	NA	NA	NA	NA	NA	NA	NA
