"","ID","level","Zvalue","Pvalue","FDR","module","score","Nfixation","plant_pathogen","arbuscular_mycorrhizal","z.degree","moduleConect","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness","eigen","hubscore","reach2","reach3"
"Fun_00053","Fun_00053","Level 1",-1.93868925017456,0.27,0.556223175965665,2,-153,0,156,0,"1.7158258605021","0.152777777777778","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Unidentified","Unidentified",12,0.0278863875536336,0.160899095335104,0.160899095335103,0.163763066202091,0.456445993031359
"Fun_00056","Fun_00056","Level 1",0.683709110292007,3.112,1,6,-327,0,332,0,"1.32977186460108","0.142011834319526","Fungi","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Unidentified","Unidentified",13,0.00917394557238062,0.605658010365745,0.605658010365745,0.163763066202091,0.393728222996516
"Fun_00057","Fun_00057","Level 1",3.62760454159441,0,0,2,-61,0,61,0,"1.40851376608381","0","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Unidentified","Verticillium","Verticillium biguttatum",10,0.0088412331401586,0.168489537885672,0.168489537885669,0.160278745644599,0.376306620209059
"Fun_00062","Fun_00062","Level 1",-1.67985253029791,0.507,0.921818181818182,3,0,0,0,0,"-0.843274042711568","0.625","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Unidentified",4,0.00205376029467821,0.0160055714981124,0.0160055714981113,0.0940766550522648,0.29616724738676
"Fun_00063","Fun_00063","Level 1",-1.31722577147521,1.189,1,1,-20,0,20,0,"0.203638397523957","0.244897959183674","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Unidentified","Unidentified",7,0.00919352010058417,0.03161165843651,0.0316116584365097,0.114982578397213,0.320557491289199
"Fun_00069","Fun_00069","Level 1",2.42947589361571,0.043,0.117718631178707,6,-37,0,37,0,"0.826358230144955","0.165289256198347","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Unidentified",11,0.0290688639132115,0.471454259188338,0.471454259188338,0.181184668989547,0.498257839721254
"Fun_00099","Fun_00099","Level 1",1.74559740131521,0.356,0.70320987654321,8,0,0,0,0,"-1.23000062078014","0.5","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Unidentified","Unidentified",2,5.03544884778988e-05,0.0397889583923394,0.0397889583923393,0.0452961672473868,0.195121951219512
"Fun_00109","Fun_00109","Level 1",3.55061609202726,0,0,4,-526,0,541,0,"0.556596612684486","0.375","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Unidentified","Unidentified","Unidentified",4,0.00598310381269805,0.00499960855340915,0.00499960855340875,0.0452961672473868,0.18815331010453
"Fun_03719","Fun_03719","Level 1",5.06490535913129,0,0,6,0,0,0,0,"-0.180469038767289","0","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","Unidentified",6,0.00402745526278386,0.272534696798491,0.272534696798491,0.160278745644599,0.414634146341463
"Fun_03720","Fun_03720","Level 1",-6.71730361196796,0,0,7,0,0,0,0,"-0.773327624155795","0","Fungi","Ascomycota","Leotiomycetes","Unidentified","Pseudeurotiaceae","Pseudeurotium","Unidentified",3,0.000650045857601356,0.0569568772015143,0.0569568772015103,0.121951219512195,0.362369337979094
"Fun_03721","Fun_03721","Level 1",-3.25741868178659,0.002,0.00753926701570681,6,-28,0,28,0,"1.07806504737302","0","Fungi","Ascomycota","Leotiomycetes","Helotiales","Unidentified","Tetracladium","Tetracladium sp.",11,0.0058901929773544,0.631784030177673,0.631784030177674,0.170731707317073,0.400696864111498
"Fun_05100","Fun_05100","Level 1",-1.58716212537865,0.594,1,6,0,0,0,0,"0.0712377784607719","0","Fungi","Ascomycota","Leotiomycetes","Helotiales","Unidentified","Tetracladium","Tetracladium furcatum",7,0.00183973277740404,0.361692157112436,0.361692157112436,0.153310104529617,0.376306620209059
"Fun_05107","Fun_05107","Level 1",-0.521243823320543,2.983,1,2,-16,0,16,0,"-0.128046706007619","0.277777777777778","Fungi","Ascomycota","Leotiomycetes","Helotiales","Unidentified","Tetracladium","Unidentified",6,0.00325722427302644,0.100239558096665,0.100239558096664,0.142857142857143,0.376306620209059
"Fun_05122","Fun_05122","Level 1",0.49602414893874,3.122,1,6,-8,0,8,0,"-0.180469038767289","0","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Cladorrhinum","Cladorrhinum brunnescens",6,0.00258255457794588,0.251433743318087,0.251433743318087,0.132404181184669,0.35191637630662
